sample;annotation
abos;[[0, 4, 'B-BRAND']]
abtoyss игруш;[[0, 7, 'B-BRAND'], [8, 13, 'B-TYPE']]
abtoyss игрушк;[[0, 7, 'B-BRAND'], [8, 14, 'B-TYPE']]
aactimal;[[0, 8, 'B-BRAND']]
actmel;[[0, 6, 'B-BRAND']]
actiminoo;[[0, 9, 'B-BRAND']]
aactimun;[[0, 8, 'B-BRAND']]
actimnuno;[[0, 9, 'B-BRAND']]
aactiv;[[0, 6, 'B-BRAND']]
actiiva;[[0, 7, 'B-BRAND']]
aactive;[[0, 7, 'B-BRAND']]
dremaine;[[0, 8, 'B-BRAND']]
adrenn;[[0, 6, 'B-BRAND']]
adrenalli;[[0, 9, 'B-BRAND']]
adrinalinn;[[0, 10, 'B-BRAND']]
darinaline;[[0, 10, 'B-BRAND']]
afansiy пи;[[0, 7, 'B-BRAND'], [8, 10, 'B-TYPE']]
afansiy пив;[[0, 7, 'B-BRAND'], [8, 11, 'B-TYPE']]
agmaa треск;[[0, 5, 'B-BRAND'], [6, 11, 'B-TYPE']]
agmaa треска;[[0, 5, 'B-BRAND'], [6, 12, 'B-TYPE']]
gaata;[[0, 5, 'B-BRAND']]
angesi пше;[[0, 6, 'B-BRAND'], [7, 10, 'B-TYPE']]
angesi пшен;[[0, 6, 'B-BRAND'], [7, 11, 'B-TYPE']]
ahhma;[[0, 5, 'B-BRAND']]
ahma;[[0, 4, 'B-BRAND']]
ahma tea;[[0, 4, 'B-BRAND'], [5, 8, 'I-BRAND']]
iltero;[[0, 6, 'B-BRAND']]
aiirw;[[0, 5, 'B-BRAND']]
abka;[[0, 4, 'B-BRAND']]
aktimeel;[[0, 8, 'B-BRAND']]
aktimunoo;[[0, 9, 'B-BRAND']]
albeenia;[[0, 8, 'B-BRAND']]
laen;[[0, 4, 'B-BRAND']]
aie;[[0, 3, 'B-BRAND']]
allne;[[0, 5, 'B-BRAND']]
almme;[[0, 5, 'B-BRAND']]
allmeta;[[0, 7, 'B-BRAND']]
almteo;[[0, 6, 'B-BRAND']]
lamett;[[0, 6, 'B-BRAND']]
lapeni;[[0, 6, 'B-BRAND']]
lpenl;[[0, 5, 'B-BRAND']]
lapenla;[[0, 7, 'B-BRAND']]
allpin gold he;[[0, 6, 'B-BRAND'], [7, 11, 'I-BRAND'], [12, 14, 'O']]
atle;[[0, 4, 'B-BRAND']]
altra;[[0, 5, 'B-BRAND']]
alteor;[[0, 6, 'B-BRAND']]
lweys;[[0, 5, 'B-BRAND']]
amrae;[[0, 5, 'B-BRAND']]
amabssado;[[0, 9, 'B-BRAND']]
aomre форели;[[0, 5, 'B-BRAND'], [6, 12, 'B-TYPE']]
anikes;[[0, 6, 'B-BRAND']]
aaos;[[0, 4, 'B-BRAND']]
apic;[[0, 4, 'B-BRAND']]
applen;[[0, 6, 'B-BRAND']]
apolloo дома;[[0, 7, 'B-BRAND'], [8, 12, 'O']]
apolloo салатни;[[0, 7, 'B-BRAND'], [8, 15, 'B-TYPE']]
appliika облож;[[0, 8, 'B-BRAND'], [9, 14, 'B-TYPE']]
appliika обложк;[[0, 8, 'B-BRAND'], [9, 15, 'B-TYPE']]
aua;[[0, 3, 'B-BRAND']]
aqufres;[[0, 7, 'B-BRAND']]
aquatfesh;[[0, 9, 'B-BRAND']]
aarctic;[[0, 7, 'B-BRAND']]
arcctik;[[0, 7, 'B-BRAND']]
rgeta;[[0, 5, 'B-BRAND']]
ri;[[0, 2, 'B-BRAND']]
arieelm;[[0, 7, 'B-BRAND']]
arivli;[[0, 6, 'B-BRAND']]
arkhangeel'skkhleb баг;[[0, 18, 'B-BRAND'], [19, 22, 'B-TYPE']]
arkhangeel'skkhleb баге;[[0, 18, 'B-BRAND'], [19, 23, 'B-TYPE']]
arroy;[[0, 5, 'B-BRAND']]
aassan;[[0, 6, 'B-BRAND']]
aassand;[[0, 7, 'B-BRAND']]
asoria;[[0, 6, 'B-BRAND']]
attlantic плав;[[0, 9, 'B-BRAND'], [10, 14, 'B-TYPE']]
attlantic плавк;[[0, 9, 'B-BRAND'], [10, 15, 'B-TYPE']]
attaache бум;[[0, 8, 'B-BRAND'], [9, 12, 'B-TYPE']]
attaache бума;[[0, 8, 'B-BRAND'], [9, 13, 'B-TYPE']]
aur;[[0, 3, 'B-BRAND']]
auraae;[[0, 6, 'B-BRAND']]
waard например;[[0, 5, 'B-BRAND'], [6, 14, 'O']]
xe;[[0, 2, 'B-BRAND']]
xe тверд;[[0, 2, 'B-BRAND'], [3, 8, 'B-TYPE']]
azzeli;[[0, 6, 'B-BRAND']]
aelis;[[0, 5, 'B-BRAND']]
aziaon;[[0, 6, 'B-BRAND']]
b-brad с клубникой;[[0, 6, 'B-BRAND'], [7, 8, 'O'], [9, 18, 'O']]
babofxo;[[0, 7, 'B-BRAND']]
babybxo;[[0, 7, 'B-BRAND']]
babyfo;[[0, 6, 'B-BRAND']]
baabygo;[[0, 7, 'B-BRAND']]
bakcer;[[0, 6, 'B-BRAND']]
baiccal;[[0, 7, 'B-BRAND']]
baikk;[[0, 5, 'B-BRAND']]
bbaikal;[[0, 7, 'B-BRAND']]
abrili;[[0, 6, 'B-BRAND']]
brailka;[[0, 7, 'B-BRAND']]
bariill;[[0, 7, 'B-BRAND']]
baarin;[[0, 6, 'B-BRAND']]
brainoff;[[0, 8, 'B-BRAND']]
barn;[[0, 4, 'B-BRAND']]
barrilll;[[0, 8, 'B-BRAND']]
barrniof;[[0, 8, 'B-BRAND']]
batrua;[[0, 6, 'B-BRAND']]
baubyt;[[0, 6, 'B-BRAND']]
bbela;[[0, 5, 'B-BRAND']]
bebeac;[[0, 6, 'B-BRAND']]
ebbyfox;[[0, 7, 'B-BRAND']]
beeerka;[[0, 7, 'B-BRAND']]
ebls;[[0, 4, 'B-BRAND']]
belv;[[0, 4, 'B-BRAND']]
belvtit;[[0, 7, 'B-BRAND']]
belivtta;[[0, 8, 'B-BRAND']]
begrner кофейн;[[0, 7, 'B-BRAND'], [8, 14, 'B-TYPE']]
begrner кофейни;[[0, 7, 'B-BRAND'], [8, 15, 'B-TYPE']]
beerl;[[0, 5, 'B-BRAND']]
beril;[[0, 5, 'B-BRAND']]
berling степле;[[0, 7, 'B-BRAND'], [8, 14, 'B-TYPE']]
berling степлер;[[0, 7, 'B-BRAND'], [8, 15, 'B-TYPE']]
beern;[[0, 5, 'B-BRAND']]
biibo н;[[0, 5, 'B-BRAND'], [6, 7, 'B-TYPE']]
biibo нож;[[0, 5, 'B-BRAND'], [6, 9, 'B-TYPE']]
biig bon;[[0, 4, 'B-BRAND'], [5, 8, 'I-BRAND']]
bgib;[[0, 4, 'B-BRAND']]
bgibom;[[0, 6, 'B-BRAND']]
bigboe;[[0, 6, 'B-BRAND']]
biggsos;[[0, 7, 'B-BRAND']]
bbima;[[0, 5, 'B-BRAND']]
bbimax;[[0, 6, 'B-BRAND']]
bingree;[[0, 7, 'B-BRAND']]
binree;[[0, 6, 'B-BRAND']]
iola;[[0, 4, 'B-BRAND']]
ibomio;[[0, 6, 'B-BRAND']]
ibomio крем-мы;[[0, 6, 'B-BRAND'], [7, 14, 'B-TYPE']]
blak;[[0, 4, 'B-BRAND']]
blaed;[[0, 5, 'B-BRAND']]
blobar;[[0, 6, 'B-BRAND']]
blndi;[[0, 5, 'B-BRAND']]
bleu;[[0, 4, 'B-BRAND']]
bodart;[[0, 6, 'B-BRAND']]
boyart;[[0, 6, 'B-BRAND']]
boyart дис;[[0, 6, 'B-BRAND'], [7, 10, 'B-TYPE']]
ohemia салатни;[[0, 6, 'B-BRAND'], [7, 14, 'B-TYPE']]
ohemia салатник;[[0, 6, 'B-BRAND'], [7, 15, 'B-TYPE']]
bbombar;[[0, 7, 'B-BRAND']]
boombard;[[0, 8, 'B-BRAND']]
bobmb;[[0, 5, 'B-BRAND']]
obmbba;[[0, 6, 'B-BRAND']]
bombbar;[[0, 7, 'B-BRAND']]
bombae;[[0, 6, 'B-BRAND']]
bommbibar;[[0, 9, 'B-BRAND']]
bonn;[[0, 4, 'B-BRAND']]
bbond;[[0, 5, 'B-BRAND']]
bonddu;[[0, 6, 'B-BRAND']]
bnodue;[[0, 6, 'B-BRAND']]
bondelle;[[0, 8, 'B-BRAND']]
bnj;[[0, 3, 'B-BRAND']]
bnojour;[[0, 7, 'B-BRAND']]
oom тетра;[[0, 3, 'B-BRAND'], [4, 9, 'B-TYPE']]
oom тетради;[[0, 3, 'B-BRAND'], [4, 11, 'B-TYPE']]
bomobaar;[[0, 8, 'B-BRAND']]
boombra;[[0, 7, 'B-BRAND']]
bombbar;[[0, 7, 'B-BRAND']]
boots;[[0, 5, 'B-BRAND']]
bboreal;[[0, 7, 'B-BRAND']]
borealsi;[[0, 8, 'B-BRAND']]
brg;[[0, 3, 'B-BRAND']]
borrges;[[0, 7, 'B-BRAND']]
brogomi;[[0, 7, 'B-BRAND']]
borjj;[[0, 5, 'B-BRAND']]
brjo;[[0, 4, 'B-BRAND']]
bun;[[0, 3, 'B-BRAND']]
bun без;[[0, 3, 'B-BRAND'], [4, 7, 'O']]
bunti;[[0, 5, 'B-BRAND']]
bountyy;[[0, 7, 'B-BRAND']]
boyarrin кукуруз;[[0, 8, 'B-BRAND'], [9, 16, 'B-TYPE']]
boyarrin кукурузо;[[0, 8, 'B-BRAND'], [9, 17, 'B-TYPE']]
booynty;[[0, 7, 'B-BRAND']]
bradxe м;[[0, 6, 'B-BRAND'], [7, 8, 'B-TYPE']]
braye кофевар;[[0, 5, 'B-BRAND'], [6, 13, 'B-TYPE']]
braye кофеварок;[[0, 5, 'B-BRAND'], [6, 15, 'B-TYPE']]
rbit;[[0, 4, 'B-BRAND']]
br;[[0, 2, 'B-BRAND']]
bsriilla;[[0, 8, 'B-BRAND']]
buchher;[[0, 7, 'B-BRAND']]
buheron;[[0, 7, 'B-BRAND']]
bbud;[[0, 4, 'B-BRAND']]
buenno;[[0, 6, 'B-BRAND']]
burlesoc колготк;[[0, 8, 'B-BRAND'], [9, 16, 'B-TYPE']]
burlesoc колготки;[[0, 8, 'B-BRAND'], [9, 17, 'B-TYPE']]
ubrn;[[0, 4, 'B-BRAND']]
ubrno;[[0, 5, 'B-BRAND']]
bbush;[[0, 5, 'B-BRAND']]
bshi;[[0, 4, 'B-BRAND']]
buttter;[[0, 7, 'B-BRAND']]
acmay;[[0, 5, 'B-BRAND']]
cmaey;[[0, 5, 'B-BRAND']]
carr;[[0, 4, 'B-BRAND']]
caratt горчицы;[[0, 6, 'B-BRAND'], [7, 14, 'B-TYPE']]
caratt еще;[[0, 6, 'B-BRAND'], [7, 10, 'O']]
crasar;[[0, 6, 'B-BRAND']]
crte noire;[[0, 4, 'B-BRAND'], [5, 10, 'I-BRAND']]
carie;[[0, 5, 'B-BRAND']]
caarye;[[0, 6, 'B-BRAND']]
casdae;[[0, 6, 'B-BRAND']]
caterar;[[0, 7, 'B-BRAND']]
catterra;[[0, 8, 'B-BRAND']]
cavendis карамел;[[0, 8, 'B-BRAND'], [9, 16, 'B-TYPE']]
cavendis карамель;[[0, 8, 'B-BRAND'], [9, 17, 'B-TYPE']]
celeesta пергаме;[[0, 8, 'B-BRAND'], [9, 16, 'B-TYPE']]
celeesta пергамен;[[0, 8, 'B-BRAND'], [9, 17, 'B-TYPE']]
centrumm мел;[[0, 8, 'B-BRAND'], [9, 12, 'B-TYPE']]
centrumm мелк;[[0, 8, 'B-BRAND'], [9, 13, 'B-TYPE']]
ecrve стак;[[0, 5, 'B-BRAND'], [6, 10, 'B-TYPE']]
ecrve стака;[[0, 5, 'B-BRAND'], [6, 11, 'B-TYPE']]
ccesar;[[0, 6, 'B-BRAND']]
ecssr;[[0, 5, 'B-BRAND']]
cezra;[[0, 5, 'B-BRAND']]
gcoco;[[0, 5, 'B-BRAND']]
chhaco;[[0, 6, 'B-BRAND']]
champioon;[[0, 9, 'B-BRAND']]
champioon гале;[[0, 9, 'B-BRAND'], [10, 14, 'B-TYPE']]
chapp;[[0, 5, 'B-BRAND']]
chappei;[[0, 7, 'B-BRAND']]
chhappy;[[0, 7, 'B-BRAND']]
chrekizovo сырокопчен;[[0, 10, 'B-BRAND'], [11, 21, 'B-TYPE']]
chrekizovo сырокопчены;[[0, 10, 'B-BRAND'], [11, 22, 'B-TYPE']]
hik;[[0, 3, 'B-BRAND']]
hika;[[0, 4, 'B-BRAND']]
chikalba;[[0, 8, 'B-BRAND']]
chikaalan;[[0, 9, 'B-BRAND']]
chikodeil;[[0, 9, 'B-BRAND']]
chiipa;[[0, 6, 'B-BRAND']]
chirtoon саш;[[0, 8, 'B-BRAND'], [9, 12, 'B-TYPE']]
chirtoon саше;[[0, 8, 'B-BRAND'], [9, 13, 'B-TYPE']]
hcitos;[[0, 6, 'B-BRAND']]
cohc;[[0, 4, 'B-BRAND']]
chhoca;[[0, 6, 'B-BRAND']]
chcco;[[0, 5, 'B-BRAND']]
cohco-;[[0, 6, 'B-BRAND']]
chooo;[[0, 5, 'B-BRAND']]
chhocop;[[0, 7, 'B-BRAND']]
chocpi;[[0, 6, 'B-BRAND']]
cchocozavr;[[0, 10, 'B-BRAND']]
coho;[[0, 4, 'B-BRAND']]
chokkozsvr;[[0, 10, 'B-BRAND']]
chhono;[[0, 6, 'B-BRAND']]
chua;[[0, 4, 'B-BRAND']]
chua chups;[[0, 4, 'B-BRAND'], [5, 10, 'I-BRAND']]
chupps;[[0, 6, 'B-BRAND']]
ccif;[[0, 4, 'B-BRAND']]
clleando;[[0, 8, 'B-BRAND']]
cleainc гигиеническ;[[0, 7, 'B-BRAND'], [8, 19, 'B-TYPE']]
cleainc гигиеническая;[[0, 7, 'B-BRAND'], [8, 21, 'B-TYPE']]
lcif;[[0, 4, 'B-BRAND']]
clvien сам;[[0, 6, 'B-BRAND'], [7, 10, 'O']]
cnorrr;[[0, 6, 'B-BRAND']]
occa;[[0, 4, 'B-BRAND']]
